Date,Close,High,Low,Open,Volume,daily_return,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,volume_change,MA_20,MA_50,positive,negative,neutral,compound,n_headlines
2020-03-13,36.44133377075195,40.50466537475586,33.46666717529297,39.66666793823242,339604500,-0.0248505535904755,35.140132933901775,-1.592802680057055,0.6513839686780142,-2.244186648735069,34.5868357253461,49.32376632690429,64.06069692846248,0.1973229820562585,49.3237663269043,43.88627979278564,0.012966666666666668,0.9367000000000001,0.050333333333333334,-0.9237000000000001,3.0
2020-03-16,29.67133331298828,32.9913330078125,29.47800064086914,31.299999237060547,307342500,-0.1857780645558401,28.792948746771117,-2.615125774037814,-0.0019179798651515,-2.613207794172663,31.134576407663427,48.1405662536621,65.14655609966077,-0.0949987411827582,48.14056625366211,43.90602645874024,0.18234285714285714,0.4747,0.34297142857142854,-0.2923428571428572,7.0
2020-03-17,28.68000030517578,31.456666946411133,26.399999618530277,29.333999633789062,359919000,-0.033410463808802,27.995538023616607,-3.4653698537167585,-0.694608354635473,-2.770761499081285,28.19366522913915,46.71323299407958,65.23280075902002,0.1710681080553453,46.71323299407959,43.88894645690918,0.24649999999999997,0.3987666666666667,0.35473333333333334,-0.15226666666666666,3.0
2020-03-18,24.08133316040039,26.99066734313965,23.367332458496094,25.933332443237305,356793000,-0.1603440409986845,24.592989383115565,-4.458869348162786,-1.4474605533409357,-3.01140879482185,25.050476976242862,44.859233093261714,64.66798921028057,-0.0086852875230259,44.85923309326172,43.76851978302002,0.2295105263157895,0.40976315789473683,0.36072105263157894,-0.18024736842105263,19.0
2020-03-19,28.50933265686035,30.13333320617676,23.8973331451416,24.979999542236328,452932500,0.1838768421567878,33.03289032037756,-4.833208087989355,-2.12461006027062,-2.708598027718736,23.532151823909647,43.28666639328003,63.041180962650415,0.2694545576847078,43.28666639328003,43.713293113708495,0.3190461538461538,0.29840769230769226,0.38253846153846155,0.020630769230769223,13.0
2020-03-20,28.50200080871582,31.799999237060547,28.38599967956543,29.21333312988281,424282500,-0.0002571736151377,33.02629894395008,-5.071999007785351,-2.7140878497735663,-2.3579111580117846,22.56440521905243,41.70843315124512,60.85246108343782,-0.0632544584457949,41.70843315124512,43.62714645385742,0.3495375,0.3803625,0.2701,-0.030837500000000018,8.0
2020-03-23,28.952667236328125,29.46666717529297,27.36666679382324,28.906667709350582,246817500,0.0158117470642444,33.89939376128159,-5.165334754052061,-3.2043372306292657,-1.960997523422796,21.59546792449933,40.37676658630372,59.1580652481081,-0.4182708454862032,40.37676658630371,43.564413146972655,0.28256,0.28731999999999996,0.43011999999999995,-0.004760000000000031,5.0
2020-03-24,33.66666793823242,34.24599838256836,31.600000381469727,31.81999969482422,343428000,0.1628174932356298,42.36337637247316,-4.803551197225325,-3.5241800239484777,-1.279371173276847,21.42602665045366,39.3937334060669,57.361440161680136,0.3914248381901608,39.39373340606689,43.6002131652832,0.29637142857142856,0.3049642857142857,0.3986642857142857,-0.008600000000000005,14.0
2020-03-25,35.95000076293945,37.133331298828125,34.07400131225586,36.34999847412109,318340500,0.0678217645089267,45.972084769655005,-4.283215009168202,-3.675987020992423,-0.6072279881757798,21.577083759936144,38.5952335357666,55.61338331159706,-0.0730502463398441,38.5952335357666,43.619399871826175,0.28125999999999995,0.28365999999999997,0.43506,-0.0024199999999999834,5.0
2020-03-26,35.21066665649414,37.33333206176758,34.150001525878906,36.49266815185547,260710500,-0.020565621439638,44.98983073317501,-3.885710858820879,-3.717931788558114,-0.1677790702627648,21.311655865136554,38.092433547973634,54.87321123081071,-0.1810325736122171,38.092433547973634,43.60638656616211,0.29862,0.36734,0.33404,-0.06870000000000001,5.0
2020-03-27,34.29066848754883,35.0533332824707,32.935333251953125,33.66666793823242,215661000,-0.026128393930185,43.73751276824207,-3.60338454528717,-3.695022339903925,0.091637794616755,21.003204369179723,37.5803337097168,54.15746305025387,-0.1727951118194318,37.5803337097168,43.600866622924805,0.22847499999999998,0.287375,0.4841583333333333,-0.058891666666666655,12.0
2020-03-30,33.47533416748047,34.44333267211914,32.7486686706543,34.017333984375,179971500,-0.0237771485955257,42.60563193275839,-3.4061654186746253,-3.6372509556580654,0.2310855369834401,21.112247047944745,36.77536697387696,52.43848689980916,-0.1654888922892873,36.77536697387696,43.58571998596192,0.013266666666666668,0.9520333333333332,0.03473333333333333,-0.9388,3.0
2020-03-31,34.93333435058594,36.19733428955078,33.133331298828125,33.41666793823242,266572500,0.0435544623934431,45.33021784119084,-3.0965246020931403,-3.5291056849450806,0.4325810828519403,21.59467024776364,36.0370002746582,50.47933030155276,0.4811928555354599,36.037000274658205,43.60372001647949,0.24820833333333334,0.14563333333333334,0.6061416666666667,0.10259166666666665,12.0
2020-04-01,32.104000091552734,34.26333236694336,31.67333221435547,33.599998474121094,200298000,-0.0809923905527714,41.23901618278585,-3.044342369285878,-3.432153021813241,0.3878106525273619,22.19669990185517,35.1438669204712,48.091033939087225,-0.2486171679374279,35.14386692047119,43.51620002746582,0.16005,0.2824,0.5575749999999999,-0.12229999999999999,4.0
2020-04-02,30.29800033569336,32.95066833496094,29.76000022888184,32.06866836547852,297876000,-0.0562546645498724,38.829953692557154,-3.1128338498127093,-3.3682891874131347,0.2554553376004254,22.723779630479928,34.243633651733404,45.76348767298688,0.4871641254530749,34.2436336517334,43.36274665832519,0.4009538461538461,0.2504153846153846,0.3486230769230769,0.15056923076923076,13.0
