Date,Close,High,Low,Open,Volume,daily_return,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_mid,BB_lower,volume_change,MA_20,MA_50
2020-03-13,36.44133377075195,40.50466537475586,33.46666717529297,39.66666793823242,339604500,-0.0248505535904755,35.140132933901775,-1.592802680057055,0.6513839686780142,-2.2441866487350692,34.5868357253461,49.323766326904284,64.06069692846248,0.19732298205625853,49.3237663269043,43.88627979278564
2020-03-16,29.67133331298828,32.9913330078125,29.47800064086914,31.299999237060547,307342500,-0.18577806455584012,28.792948746771113,-2.615125774037814,-0.00191797986515152,-2.613207794172663,31.134576407663427,48.1405662536621,65.14655609966077,-0.0949987411827582,48.14056625366211,43.906026458740236
2020-03-17,28.68000030517578,31.456666946411133,26.399999618530273,29.333999633789062,359919000,-0.03341046380880208,27.995538023616607,-3.4653698537167585,-0.694608354635473,-2.7707614990812854,28.19366522913915,46.71323299407958,65.23280075902002,0.17106810805534534,46.71323299407959,43.88894645690918
2020-03-18,24.08133316040039,26.99066734313965,23.367332458496094,25.933332443237305,356793000,-0.1603440409986845,24.592989383115565,-4.458869348162786,-1.4474605533409357,-3.01140879482185,25.050476976242862,44.859233093261714,64.66798921028057,-0.008685287523025997,44.85923309326172,43.76851978302002
2020-03-19,28.50933265686035,30.133333206176758,23.8973331451416,24.979999542236328,452932500,0.1838768421567878,33.03289032037756,-4.833208087989355,-2.1246100602706197,-2.7085980277187356,23.532151823909647,43.28666639328003,63.041180962650415,0.26945455768470783,43.28666639328003,43.713293113708495
2020-03-20,28.50200080871582,31.799999237060547,28.38599967956543,29.213333129882812,424282500,-0.0002571736151377735,33.02629894395008,-5.071999007785351,-2.7140878497735663,-2.3579111580117846,22.56440521905243,41.708433151245124,60.85246108343782,-0.06325445844579491,41.70843315124512,43.62714645385742
2020-03-23,28.952667236328125,29.46666717529297,27.366666793823242,28.906667709350586,246817500,0.015811747064244486,33.89939376128159,-5.165334754052061,-3.2043372306292657,-1.9609975234227957,21.59546792449933,40.37676658630372,59.1580652481081,-0.4182708454862032,40.37676658630371,43.564413146972655
2020-03-24,33.66666793823242,34.24599838256836,31.600000381469727,31.81999969482422,343428000,0.16281749323562988,42.363376372473155,-4.803551197225325,-3.5241800239484777,-1.279371173276847,21.42602665045366,39.3937334060669,57.361440161680136,0.39142483819016083,39.39373340606689,43.6002131652832
2020-03-25,35.95000076293945,37.133331298828125,34.07400131225586,36.349998474121094,318340500,0.06782176450892674,45.972084769655005,-4.283215009168202,-3.6759870209924226,-0.6072279881757798,21.577083759936144,38.5952335357666,55.61338331159706,-0.07305024633984414,38.5952335357666,43.619399871826175
2020-03-26,35.21066665649414,37.33333206176758,34.150001525878906,36.49266815185547,260710500,-0.020565621439638027,44.98983073317501,-3.885710858820879,-3.717931788558114,-0.16777907026276484,21.311655865136554,38.092433547973634,54.87321123081071,-0.18103257361221714,38.092433547973634,43.60638656616211
2020-03-27,34.29066848754883,35.0533332824707,32.935333251953125,33.66666793823242,215661000,-0.026128393930185068,43.73751276824207,-3.6033845452871702,-3.6950223399039253,0.09163779461675503,21.003204369179723,37.5803337097168,54.15746305025387,-0.17279511181943186,37.5803337097168,43.600866622924805
2020-03-30,33.47533416748047,34.44333267211914,32.7486686706543,34.017333984375,179971500,-0.02377714859552571,42.60563193275839,-3.4061654186746253,-3.6372509556580654,0.23108553698344014,21.112247047944745,36.775366973876956,52.43848689980916,-0.16548889228928731,36.775366973876956,43.585719985961916
2020-03-31,34.93333435058594,36.19733428955078,33.133331298828125,33.41666793823242,266572500,0.04355446239344318,45.33021784119084,-3.0965246020931403,-3.5291056849450806,0.4325810828519403,21.594670247763638,36.0370002746582,50.47933030155276,0.4811928555354599,36.037000274658205,43.60372001647949
2020-04-01,32.104000091552734,34.26333236694336,31.67333221435547,33.599998474121094,200298000,-0.08099239055277141,41.23901618278585,-3.0443423692858786,-3.4321530218132406,0.3878106525273619,22.196699901855172,35.1438669204712,48.091033939087225,-0.24861716793742794,35.14386692047119,43.51620002746582
2020-04-02,30.29800033569336,32.95066833496094,29.760000228881836,32.068668365478516,297876000,-0.05625466454987249,38.829953692557154,-3.1128338498127093,-3.3682891874131347,0.2554553376004254,22.723779630479928,34.243633651733404,45.763487672986884,0.48716412545307497,34.2436336517334,43.36274665832519
2020-04-03,32.000667572021484,34.36600112915039,31.22599983215332,33.96666717529297,338431500,0.05619734693587186,42.25488447897657,-2.9951960695518665,-3.293670563840881,0.29847449428901474,23.613689727152764,33.49873371124268,43.3837776953326,0.1361489344559481,33.49873371124268,43.23982666015625
